City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Luwuk,ID,84.85,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
12,Manado,ID,83.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
17,Talcher,IN,83.97,broken clouds,20.95,85.2167,Hotel Green Park
25,Damaturu,NG,84.96,scattered clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
31,Faanui,PF,80.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Kloulklubed,PW,81.1,clear sky,7.0419,134.2556,Storyboard Beach Resort
51,Umm Lajj,SA,83.66,clear sky,25.0213,37.2685,Moon light Furnished Units
52,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
61,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
70,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
82,Rawatsar,IN,88.16,broken clouds,29.2833,74.3833,Honda Service Center
91,Bonthe,SL,81.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
92,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
93,Manaure,CO,84.4,broken clouds,11.7751,-72.4445,Hotel Palaaima
101,Bac Lieu,VN,84.76,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
107,The Valley,AI,80.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
112,Honiara,SB,86.52,clear sky,-9.4333,159.95,Heritage Park Hotel
116,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
118,Labuhan,ID,81.7,overcast clouds,-6.8844,112.2051,DoubleFAG
125,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
126,Trincomalee,LK,81.19,overcast clouds,8.5711,81.2335,Welcombe Hotel
140,Ahuimanu,US,81.19,clear sky,21.4447,-157.8378,Paradise Bay Resort
154,Adrar,MR,85.66,clear sky,20.5022,-10.0711,
164,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
166,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
171,Buala,SB,85.05,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
173,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
177,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
179,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
