City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,33.82,80,75,9.22,broken clouds
1,Jamestown,US,42.097,-79.2353,73.04,54,0,3.44,clear sky
2,Luwuk,ID,-0.9516,122.7875,84.85,75,32,2.28,scattered clouds
3,Vardo,NO,70.3705,31.1107,37.38,81,100,9.22,overcast clouds
4,Taksimo,RU,56.3444,114.8794,56.93,46,82,11.65,broken clouds
5,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,11.5,moderate rain
6,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,5.75,clear sky
7,Albany,US,42.6001,-73.9662,69.39,93,100,4.09,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,77.04,71,27,18.68,scattered clouds
9,Sioux Lookout,CA,50.1001,-91.917,44.67,76,100,11.5,overcast clouds
10,Port Elizabeth,ZA,-33.918,25.5701,55.31,97,0,2.3,clear sky
11,Mount Gambier,AU,-37.8333,140.7667,56.66,57,96,11.81,overcast clouds
12,Manado,ID,1.487,124.8455,83.17,83,40,2.3,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,61.12,80,0,5.99,mist
14,Lichinga,MZ,-13.3128,35.2406,55.49,88,20,9.22,few clouds
15,Ushuaia,AR,-54.8,-68.3,51.46,43,0,8.05,clear sky
16,Plettenberg Bay,ZA,-34.0527,23.3716,61.21,52,0,4.88,clear sky
17,Talcher,IN,20.95,85.2167,83.97,76,60,4.14,broken clouds
18,Meulaboh,ID,4.1363,96.1285,77.68,88,100,3.91,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,58.8,63,0,9.6,clear sky
20,Esperance,AU,-33.8667,121.9,53.44,74,100,4.47,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.75,71,11,15.59,few clouds
22,Uklana Mandi,IN,29.5023,75.8849,92.5,11,100,9.69,overcast clouds
23,Tuatapere,NZ,-46.1333,167.6833,56.7,57,4,4.27,clear sky
24,Port Macquarie,AU,-31.4333,152.9167,74.89,77,100,8.23,overcast clouds
25,Damaturu,NG,11.747,11.9608,84.96,23,29,5.19,scattered clouds
26,Jumla,NP,29.2747,82.1838,59.14,57,0,2.37,clear sky
27,Moundou,TD,8.5667,16.0833,78.4,64,88,3.83,overcast clouds
28,Saint George,US,37.1041,-113.5841,94.62,5,100,8.99,overcast clouds
29,Qitaihe,CN,45.8,130.85,59.23,19,2,9.57,clear sky
